id,name,links,ingredients,recipe
1,Tomato Rice,https://www.youtube.com/watch?v=eXGgrhtql1A&list=PLnj9UGe965p3adeGa5QJ10AyzNUcPpV9N&index=44,"(1 cup = 255 ML) 3 tsp oil,1 tsp mustard,1 tsp cumin / jeera,1 tsp urad dal,1 tsp chana dal few fenugreek / methi,1 inch cinnamon / dalchini,4 cloves,few curry leaves,few cashew / kaju,1 onion finely chopped1 green chilli slit,1 tsp ginger paste,2 tomato finely chopped,1 tsp turmeric / haldi tsp kashmiri red chilli powder,1  tsp coriander powder,1 tsp salt,2 tbsp mint / pudina chopped,2 cup rice cooked,2 tbsp coriander finely chopped","1)In a large kadai heat oil and splutter tempering. 
2)Also, saute few cashews until golden brown. 
3)Add onion, green chilli,  ginger paste and saute well. 
4)Now add tomatoes and saute until tomatoes turn soft and mushy. 
5)Additionally add  turmeric,  chilli powder, coriander powder,  salt and mint leaves. Saute and cook for a minute. 
6)Furthermore, add cooked rice and mix gently. Cover and simmer for 5 minutes to absorb all masala. 
7)Finally, serve tomato rice with raita of your choice."
2,Coconut Rice,https://www.youtube.com/watch?v=Ry4BUn2Ku_g&list=PLnj9UGe965p3adeGa5QJ10AyzNUcPpV9N&index=74,"(1 cup = 255 ML) 3 tsp oil,1 tsp mustard / rai,1 tsp urad dal,1 tsp chana dal,few curry leaves,1 dried red chilli,2 green chilli slit,1 inch ginger finely chopped,10 cashew / kaju,2 cup coconut grated,2 cup cooked rice,1 tsp salt","1)In a large kadai heat 3 tsp oil and saute 1 tsp mustard, 1 tsp urad dal, 1 tsp chana dal, few curry leaves, 1 dried red chilli.
2)Also add 2 green chilli, 1-inch ginger. saute slightly.
3)Now add 10 cashews and roast till the cashews turn golden brown. 
4)Add in cup grated coconut and saute for a minute or till raw smell goes away.
5)Further, add 2 cups cooked rice and required amount of salt.
6)Mix gently without breaking the rice. 
7)Now cover and simmer for 2 minutes, or till rice absorbs coconut flavour. 
8)Finally, serve south style coconut rice with kuzhambu or any curry."
3,Tamarind Rice,https://www.youtube.com/watch?v=k0ar5T_QfVI&list=PLnj9UGe965p3adeGa5QJ10AyzNUcPpV9N&index=90,"(1 cup = 255 ML)For masala powder: 1 tsp sesame oil / gingelly oil,1 tsp coriander seeds,2 tsp urad dal,2 tsp chana dal,1 tsp pepper,1 tsp methi / fenugreek seeds,4 dried kashmiri red chilli,1 tbsp sesame / til ,Other ingredients: 2 tbsp sesame oil / gingelly oi,1 tsp mustard / rai,1 tsp urad dal,1 tsp chana dal,2 tbsp peanuts roasted,1 dried kashmiri red chilli broken,few curry leaves,pinch of hing / asafoetida 1 cup tamarind extract,1 tsp turmeric / haldi1 tsp jaggery / gud1 tsp salt,3 cup cooked rice","1)Firstly, heat 1 tsp gingelly oil and roast spices.
2) Further roast 1 tbsp sesame seeds till it turns golden brown.
3) Blend to fine powder and masala powder is ready. 
4)Now in a large kadai heat 2 -3 tbsp gingelly oil. 
5)Add in 1 tsp mustard, 1 tsp urad dal, 1 tsp chana dal and 2 tbsp peanuts.
6)Saute till mustard seeds splutter. Further add 1 red chill, few curry leaves and pinch of hing. 
7)Saute for few seconds. Add 1 cup tamarind juice, 1 tsp turmeric, 1 tsp jaggery and 1 tsp salt. 
8)Mix well and boil the mixture for 10 minutes or till oil separates. 
9)Further add 2-3 tbsp of prepared masala powder. 
10)Continue to cook till the oil separates from sides. now add 3 cup cooked rice and mix gently. 
11)Finally, tamarind rice is ready to serve."
4,Lemon Rice,https://www.youtube.com/watch?v=XpJdJmv0Ylk&list=PLnj9UGe965p3adeGa5QJ10AyzNUcPpV9N&index=52,"(1 cup = 255 ML) 3 tsp oil,1 tsp mustard seeds,1 tsp chana dal, pinch of hing / asafoetida,1 tsp urad dal,few curry leaves,1 dried red chilli,3 tbsp peanuts / groundnut roasted,10 whole cashews,1 green chilli finely chopped,1 inch ginger finely chopped,1 tsp turmeric,2 cups cooked rice,salt to taste,half lemon,2 tbsp coriander leaves finely chopped","1)Firstly, in a large kadai heat oil and add in 1 tsp mustard seeds, 1 tsp chana dal, 1 tsp urad dal, pinch of hing, few curry leaves and 1 dried red chilli. 
2)Allow to splutter. Further add 3 tbsp peanuts and 10 whole cashews. 
3)Roast till cashews turn slightly golden. 
4)Now add 1 green chilli, 1 inch ginger and 1 tsp turmeric. 
5)Saute for 30 seconds. 
6)Add in 2 cups cooked rice and salt to taste. (use leftover rice or make sure to cool the rice completely before you add)
7)Mix well making sure rice doesn't break. 
8)Now turn off the stove and add half lemon and 2 tbsp coriander leaves. Mix well. 
9)Finally, serve lemon rice with papad or pickle of your choice."
5,Vegetable Rice,https://www.youtube.com/watch?v=bXgxzzNm0U8&list=PLnj9UGe965p3adeGa5QJ10AyzNUcPpV9N&index=2,"(1 cup = 255 ML)For cooking rice:1 cup basmati rice,1 tsp oil,1 tsp salt,water for soaking & boiling ,For fried rice: 2 tbsp oil,2 clove garlic finely chopped,onion finely chopped,4 tbsp spring onion chopped,carrot finely chopped,2 tbsp cabbage finely chopped,2 tbsp peas / matar,5 beans chopped,capsicum finely chopped,1 tsp salt,2 tbsp soy sauc,1 tbsp vinegar,1 tsp pepper crushed,1 tsp salt","1)Firstly, in a large kadai heat 2 tbsp oil and stir-fry 2 clove garlic. 
2)Also, saute 3 onion and 2 tbsp spring onion until they sweat. 
3)Furthermore add vegetables of your choice like carrot, 2 tbsp cabbage,2 tbsp peas, 5 beans, capsicum and 1 tsp salt. 
4)Stir fry on high flame without overcooking vegetables. 
5)Now add 2 tbsp soy sauce and 1 tbsp vinegar. 
6)Stir-fry until the sauce is combined well. 
7)Keeping the flame on high, add cooked rice. 
8)Also, add 1 tsp pepper and 1.5 tsp salt. 
9)Adjust the salt as soy sauce has salt. 
10)Stir-fry by mixing well making sure rice grains won't break. 
11)Further, add 2 tbsp spring onions and mix well. 
12)Finally, enjoy vegetable fried rice with gobi manchurian."
6,Mint Rice,https://youtu.be/jYnwvZSJbxo,"For masala paste:handful mint / pudina,handful coriander,3 cloves garlic,1 inch ginger,2 chilli,onion,2 tbsp coconut (grated),1 star anise,2 pod cardamom,5 cloves / lavang,1.5 inch cinnamon,1 tsp pepper,For pulao:2 tbsp ghee / clarified butter,1 tsp cumin / jeera,1 bay leaf / tej patta,10 cashew / kaju,1 onion (sliced),1 tomato (chopped),potato / aloo (cubed),capsicum (cubed),carrot (chopped),2 tbsp peas / matar,5 beans (chopped),2 cup water,1 tsp salt,1 cup basmati rice (soaked 20 minutes)","1)Firstly, in a small blender take handful mint and coriander.
2)Also add 3 cloves garlic, 1 inch ginger, 2 chilli, 2 onion and 2 tbsp coconut.Further, add 1 star anise, 2 pods cardamom, 5 cloves, 1 inch cinnamon and 1 tsp pepper.
3)Blend to smooth paste adding water as required. Keep aside.
4)In a pressure cooker heat 2 tbsp ghee and saute 1 tsp cumin and 1 bay leaf until it turns aromatic.Add 10 cashews and roast until it turns golden brown.
5)Further, add 1 onion and saute well.
6)Also, add 1 tomato and saute until it turns soft and mushy.
7)Now add 2 potato, 3 capsicum, 3 carrot, 2 tbsp peas and 5 beans.Saute for 2 minutes or until it turns aromatic.
8)Add in the prepared masala paste and saute well.Further, add 2 cup water and 1 tsp salt.
9)Also, add 1 cup basmati rice and mix well.Cover and pressure cook for 2 whistles or until rice are cooked well.
10)Finally, pudina pulao / mint rice recipe ready to be served with raita."
7,Rice,http://www.youtube.com,ingredient list for all rice items,rice itms displayed
8,Brinjal Gravy,https://youtu.be/mWRS3p_bAdw,"6 small sized purple brinjal / baingan / eggplant,3 tbsp oil,1 tsp mustard seeds / rai,1 tsp methi / fenugreek seedsfew curry leaves,1 onion (finely chopped),1 cup tamarind water,1 tsp jaggery / gud (optional),2 tbsp coriander leaves (finely chopped),For onion-tomato paste:2 tsp oil,1 onion (thinly sliced),1 tsp ginger garlic paste / adrak lasun paste,1 tsp turmeric powder / haldi,1 to mato (finely chopped),1 tsp coriander powder / daniya powder,1 tsp cumin powder / jeera powder,1 tsp kashmiri red chili powder / lal mirch powder,1 tsp garam masala powder,salt to taste,for stuffing:2 tbsp sesame seeds / til,1 cup coconut (fresh / desiccated / dry),1 cup peanuts / groundnuts (roasted & peeled),1 tsp kashmiri red chili powder / lal mirch powder,salt to taste","1)Firstly, take the cut brinjal and stuff the prepared stuffing,and fry on medium flame with 3 tbsp of oil,cover and simmer for 2-4 minutes or till they are half cooked
2)Further, take,off and keep aside,now in the same kadai add mustard seeds, methi and curry leaves
3)Allow to splutter,further add onions and saute well,also add prepared onion-tomato paste and continue to saute
4)Furthermore, place the stuffed and fried brinjals,and pour tamarind wate add a piece of jaggery
5)Mix gently, cover and simmer for 5 minutes,stir occasionally and cook till the brinjal gets cooked completely
6)Finally, serve baingan masala with chapathi or roti."
9,Ladyfinger Gravy,https://youtu.be/jwxbpz1S5uo,"(1 cup = 255 ML)For cooking rice:1 cup basmati rice,1 tsp oil1 tsp salt,water for soaking & boiling, For fried rice: 2 tbsp oil,2 clove garlic finely chopped,onion finely chopped,4 tbsp spring onion chopped,carrot finely chopped,2 tbsp cabbage finely chopped,2 tbsp peas / matar,5 beans chopped,capsicum finely chopped,1 tsp salt,2 tbsp soy sauce,1 tbsp vinegar,1 tsp pepper crushed,1 tsp salt","1)In a large kadai heat oil and saute bhindi. 
2)Saute on medium flame stirring occasionally. 
3)Remove and keep aside. 
4)Now in the same kadai add 2 tsp of oil if required. 
5)Also add jeera and saute till it turns aromatic. 
6)Furthermore, add ginger-garlic paste and saute. 
7)Also add onions and continue to saute. 
8)Add spices like chili powder, turmeric, coriander powder and garam masala. 
9)Saute for a minute on low flame till the spices are cooked well.now add tomato pulp and saute continuously till the oil separates and forms thick masala paste.
10)Now add cashew paste, salt add water as required to adjust the consistency.
11)Get the gravy to boil.
12)Further add saulted bhindi and mix gently.
13)Cover and simmer the gravy for 5 minutes.
14)Now add coriander leaves and mix well.
15)Finally, serve bhindi masala gravy / okra masala curry with plain rice, chapathi or roti."
10,Paneer gravy,https://youtu.be/4p83Ved7Lsk,"(1 cup = 255 ML) 3 Ripe red juicy tomatoes,200gm Cashews,200 ml cream,200gm butter,2 tsp chiili powder,kasthuri methi,salt,corainder leaves for garnish,paneer","1)Firstly, in a large kadai, heat 1 tbsp butter and saute 1 bay leaf, 1 green chilli, 1 tsp kasuri methi till they aromatic.
2)Further saute 1  onion petals and  cubed capsicum,add 1  tsp,turmeric and 1  tsp chilli powder,further add blended tomato-onion paste and mix well.
3)In addition, add prepared kadai masala and 1 tsp salt,cook till the masala paste,starts to release oil,now add 1  to 1 cup water adjusting consistency as required.
4)Add 12 cubes homemade paneer, 2 tbsp cream and mix gently,cover and simmer for 5 minutes.
5)Furthermore, add  tsp garam masala and 2 tbsp coriander leaves.
6)Mix well,finally, serve restaurant-style kadai paneer gravy hot with garlic naan or chapati."
